Number,Name,Wood [%],Metal [%],Plastic [%],Fabric [%],Weight [kg]
,,,,,,
1,WoodenChair,100,0,0,0,4
,,,,,,
2,Apple,0,0,0,0,0.5
,,,,,,
3,Mattress,0,50,0,50,25
,,,,,,
4,BigHammer,50,50,0,0,8
,,,,,,
5,Screwdriver,0,25,75,0,0.2
,,,,,,
6,Knife,0,70,30,0,0.3
,,,,,,
7,Fan,30,0,0,0,0.1
,,,,,,
8,Watermelon,0,0,0,0,1.2
,,,,,,
9,Suitcase,0,10,90,0,2
,,,,,,
10,Book,100,0,0,0,0.5
,,,,,,
12,Papers,100,0,0,0,1
,,,,,,
13,Scotch,0,5,0,0,0.75
,,,,,,
14,WoodenLog,100,0,0,0,6
,,,,,,
15,MetalChair,90,0,10,0,1
,,,,,,
16,PlasticChair,0,0,100,0,0.7
,,,,,,
17,Handbag,0,2.5,2.5,95,1
,,,,,,
19,Macbook,0,90,10,0,0.75
,,,,,,
20,OldMobilePhone,0,10,90,0,0.25
,,,,,,
21,OldTelevision,50,30,20,0,7
,,,,,,
22,Bread,0,0,0,0,0.8
,,,,,,
25,MetalDrawers,0,90,10,0,30
,,,,,,
26,WoodDrawers,100,0,0,0,15
,,,,,,
27,GlassEmptyBottle,0,0,0,0,0.4
,,,,,,
28,Lamp,0,10,80,20,0.6
,,,,,,
29,CampLamp,0,90,0,0,1
,,,,,,
31,Bicycle,0,90,10,0,4
,,,,,,
32,WheelRim,0,100,0,0,8
,,,,,,
33,Tire,0,0,100,0,4
,,,,,,
34,Diamond,0,0,0,0,0.1
,,,,,,
35,Gold,0,100,0,0,1
,,,,,,
37,Saw,0,90,10,0,0.3
,,,,,,
38,Cup,0,0,0,0,0.2
,,,,,,
40,RiderHelmet,0,0,95,5,0.3
,,,,,,
48,Shirt,0,0,2,98,0.2
,,,,,,
50,Drill,0,50,50,0,3
,,,,,,
51,Jeans,0,10,0,90,0.4
,,,,,,
52,Vespa,0,80,20,0,200
,,,,,,
54,BaseballBat,100,0,0,0,0.8
,,,,,,
55,Flashlight,0,70,20,0,0.1
,,,,,,
57,Perfume,0,0,0,0,0.4
,,,,,,
58,Toothpaste,0,0,40,0,0.3
