Number,Name,Wood [%],Metal [%],Plastic [%],Fabric [%],Weight [kg]
1,WoodenChair,98,2,0,0,5
2,Apple,0,0,0,0,0.2
3,Mattress,0,0,10,90,15
4,BigHammer,85,15,0,0,3
5,Screwdriver,0,40,60,0,0.1
6,Knife,0,80,20,0,0.3
7,Fan,60,0,0,40,0.1
8,Watermelon,0,0,0,0,3
9,Suitcase,0,10,90,0,2
10,Book,0,0,0,0,1
12,Papers,0,0,0,0,1.5
13,Scotch,0,0,1,0,1
14,WoodenLog,100,0,0,0,50
15,MetalChair,0,100,0,0,2
16,PlasticChair,0,0,100,0,0.6
17,Handbag,0,0,70,30,0.2
19,Macbook,0,70,30,0,2
20,OldMobilePhone,0,10,90,0,0.5
21,OldTelevision,40,60,0,0,20
22,Bread,0,0,0,0,0.3
25,MetalDrawers,0,95,5,0,7
26,WoodDrawers,98,2,0,0,7
27,GlassEmptyBottle,0,0,0,0,0.1
28,Lamp,0,70,10,20,4
29,CampLamp,0,90,10,0,2
31,Bicycle,0,80,20,0,6
32,WheelRim,0,100,0,0,3
33,Tire,0,0,0,0,3
34,Diamond,0,0,0,0,0.2
35,Gold,0,100,0,0,1
37,Saw,0,80,20,0,1
38,Cup,0,0,0,0,0.1
40,RiderHelmet,0,10,80,10,2
48,Shirt,0,0,1,99,0.2
50,Drill,0,20,80,0,5
51,Jeans,0,0,0,1,0.4
52,Vespa,0,60,40,0,150
54,BaseballBat,100,0,0,0,1
55,Flashlight,0,10,90,0,0.3
57,Perfume,0,0,0,0,0.7
58,Toothpaste,0,0,100,0,0.2
59,Toothbrush,0,0,100,0,0.1
62,Sneaker,0,0,50,50,0.4
63,Sandal,80,2,5,0,0.6
65,ElectricSaw,0,40,60,0,7
68,BirdPainting,30,0,0,70,3
72,StuffedBear,0,0,0,100,0.6
73,EmbalmedBird,10,0,0,0,8
75,WoodenSled,80,10,5,0,9
77,Battery,0,10,5,0,0.1
78,EmbalmedDeer,30,0,0,0,10
80,CoatHanger,100,0,0,0,4
81,Microscope,0,30,70,0,3
82,Binoculars,0,5,95,0,0.4
84,PlasticBowAndArrows,0,5,95,0,0.5
85,Dumbbells,0,60,40,0,10
86,Skate,40,5,55,0,3
87,Sunglasses,0,5,95,0,0.2
89,Gun,0,40,60,0,2
90,FryingPan,0,70,30,0,2
91,Statue,0,0,0,0,150
93,Dynamite,0,0,0,10,5
94,Milk,0,0,20,0,1
96,CartonBox,0,0,0,0,0.4
97,WoodMetalShovel,40,60,0,0,4
98,PlasticShovel,0,30,70,0,3
100,Rug,0,0,0,100,8
101,Chandelier,0,100,0,0,3
102,MagnifyingGlass,0,0,80,0,0.2
103,WoodTable,99,1,0,0,90
104,GlassWoodTable,70,0,0,0,30
105,PlasticTrashcan,0,5,95,0,6
107,Umbrella,0,5,30,65,1
108,Guitar,90,8,2,0,5
109,Tuba,0,100,0,0,4
112,Trumpet,0,100,0,0,2
113,PottedTree,70,0,10,0,6
114,Toaster,0,80,20,0,2
116,DeskChair,0,20,10,70,4
123,OldTelescope,40,60,0,0,6
124,BoxingGloves,0,0,30,70,2
125,Boot,0,2,30,8,0.8
126,OldBook,0,5,0,0,2
127,WalkingStick,100,0,0,0,2
128,Axe,80,20,0,0,3
131,WoodenWheel,100,0,0,0,20
132,Sponge,0,0,0,100,0.1
133,SwissBlade,0,90,10,0,0.3
135,GardeningScissors,0,60,40,0,3
139,Rock,0,0,0,0,60
140,Pinecone,0,0,0,0,0.1
141,ElectricGuitar,40,55,5,0,4
142,Vase,0,0,0,0,4
143,Safebox,0,80,20,0,8
144,Cannon,30,70,0,0,150
145,Camera,0,30,70,0,4
148,MetalBriefcase,0,90,10,0,3
149,ElectricKeyboards,0,40,60,0,6
150,FireExtinguisher,0,90,10,0,11
151,RubberDuck,0,0,100,0,0.1
152,Quartz,0,0,0,0,1
153,HoneyJar,0,10,0,0,1
155,BedFrame,90,2,0,8,40
157,Blackboard,50,0,0,0,10
158,IroningBoard,0,60,10,30,3
161,PendulumClock,80,20,0,0,100
162,CouchChair,35,5,0,60,30
168,Brick,0,0,0,0,4
170,CarWheel,0,60,0,0,6
172,Grill,0,100,0,0,5
173,Foosball,45,45,10,0,70
177,VaccumCleaner,0,60,40,0,4
178,TennisRacket,0,0,95,5,2
184,ElectricHeater,0,90,10,0,7
187,MirrorSilverFrame,0,100,0,0,8
188,BasketballBall,0,0,100,0,1
190,ParkBench,70,30,0,0,100
192,Katana,0,60,35,5,4
196,Stroller,0,20,20,60,10
197,Shampoo,0,0,100,0,0.2
